[1][329/1410] acc_real: 0.015625, acc_fake: NA
[1][330/1410] acc_real: 0.0, acc_fake: NA
[1][331/1410] acc_real: 0.0, acc_fake: NA
[1][332/1410] acc_real: 0.0078125, acc_fake: NA
[1][333/1410] acc_real: 0.0078125, acc_fake: NA
[1][334/1410] acc_real: 0.015625, acc_fake: NA
[1][335/1410] acc_real: 0.0078125, acc_fake: NA
[1][336/1410] acc_real: 0.0, acc_fake: NA
[1][337/1410] acc_real: 0.0, acc_fake: NA
[1][338/1410] acc_real: 0.0, acc_fake: NA
[1][339/1410] acc_real: 0.0, acc_fake: NA
[1][340/1410] acc_real: 0.015625, acc_fake: NA
[1][341/1410] acc_real: 0.0, acc_fake: NA
[1][342/1410] acc_real: 0.0078125, acc_fake: NA
[1][343/1410] acc_real: 0.0078125, acc_fake: NA
[1][344/1410] acc_real: 0.0, acc_fake: NA
[1][345/1410] acc_real: 0.0078125, acc_fake: NA
[1][346/1410] acc_real: 0.0, acc_fake: NA
[1][347/1410] acc_real: 0.015625, acc_fake: NA
[1][348/1410] acc_real: 0.0, acc_fake: NA
[1][349/1410] acc_real: 0.0, acc_fake: NA
[1][350/1410] acc_real: 0.0, acc_fake: NA
[1][351/1410] acc_real: 0.0078125, acc_fake: NA
[1][352/1410] acc_real: 0.0, acc_fake: NA
[1][353/1410] acc_real: 0.015625, acc_fake: NA
[1][354/1410] acc_real: 0.015625, acc_fake: NA
[1][355/1410] acc_real: 0.0078125, acc_fake: NA
[1][356/1410] acc_real: 0.0, acc_fake: NA
[1][357/1410] acc_real: 0.0, acc_fake: NA
[1][358/1410] acc_real: 0.0, acc_fake: NA
[1][359/1410] acc_real: 0.0078125, acc_fake: NA
[1][360/1410] acc_real: 0.0078125, acc_fake: NA
[1][361/1410] acc_real: 0.0078125, acc_fake: NA
[1][362/1410] acc_real: 0.0, acc_fake: NA
[1][363/1410] acc_real: 0.0, acc_fake: NA
[1][364/1410] acc_real: 0.0, acc_fake: NA
[1][365/1410] acc_real: 0.0078125, acc_fake: NA
[1][366/1410] acc_real: 0.0078125, acc_fake: NA
[1][367/1410] acc_real: 0.0, acc_fake: NA
[1][368/1410] acc_real: 0.0, acc_fake: NA
[1][369/1410] acc_real: 0.0078125, acc_fake: NA
